Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type
0,0,0,0,0,0,0,1,3,29,225000,34,1,0,4,0,1,0
0,0,0,0,0,0,0,0,1,5,270000,51,1,4,4,4,1,2
0,0,0,0,0,0,0,1,3,6,157500,26,2,4,4,1,1,8
0,0,1,0,0,0,1,0,2,53,180000,58,0,1,4,1,1,12
0,1,1,0,1,0,1,0,2,17,72000,61,0,1,4,1,1,12
0,0,1,0,1,0,0,0,1,21,360000,51,23,4,1,2,1,10
1,0,1,0,0,0,0,0,1,26,391500,47,4,4,4,2,1,17
0,0,0,0,1,0,0,0,1,43,261000,64,27,4,1,2,1,12
0,0,1,0,0,0,0,2,3,9,270000,31,1,2,1,2,5,6
1,0,0,1,1,0,0,0,1,47,126000,34,5,4,1,3,1,3
0,1,1,0,0,0,1,0,2,30,202500,52,0,1,4,1,1,12
0,0,0,1,0,0,0,2,4,27,82350,33,11,4,2,1,5,1
0,1,1,0,0,0,0,1,3,23,225000,42,0,4,4,0,1,15
0,0,1,0,0,0,0,0,2,39,180000,50,7,4,4,1,1,8
0,1,1,0,0,0,0,2,4,6,94500,34,9,4,4,1,1,2
0,0,1,0,0,0,0,0,2,4,135000,52,0,4,4,1,1,11
1,0,1,0,0,0,0,1,3,11,135000,36,10,4,1,1,1,12
1,1,0,0,0,0,0,1,3,55,270000,45,18,0,4,1,3,10
0,0,1,1,1,0,0,0,1,52,202500,49,26,4,4,2,1,1
0,0,0,0,0,1,0,1,2,33,108000,34,9,4,4,4,1,15
1,1,0,0,0,0,0,0,1,51,337500,31,9,4,4,3,5,3
0,0,1,0,0,0,0,0,2,44,121500,40,16,4,4,1,1,11
0,1,1,0,1,0,1,0,2,16,225000,60,0,1,4,1,1,12
0,0,0,1,0,0,0,0,1,38,135000,28,3,2,1,3,1,0
0,1,1,0,0,0,0,0,2,3,270000,54,15,0,1,1,1,0
0,0,0,0,0,0,0,0,1,1,90000,42,0,4,4,3,1,8
1,1,1,0,0,0,0,1,3,38,157500,37,4,4,4,1,1,4
0,0,1,0,0,1,1,0,2,28,81000,59,0,1,4,1,1,12
0,0,1,0,0,0,0,0,1,44,225000,47,0,4,4,4,1,15
1,1,1,1,0,0,0,2,4,3,225000,51,17,0,1,1,1,10
0,0,1,1,1,0,0,0,2,42,180000,45,7,0,4,1,1,12
0,0,1,0,0,0,1,0,1,44,225000,64,0,1,4,4,1,12
0,0,0,0,1,0,1,0,2,5,67500,62,0,1,3,1,1,12
0,0,1,0,1,0,1,0,2,37,90000,66,0,1,4,1,1,12
0,0,0,1,1,0,0,0,2,3,270000,50,24,4,4,1,1,4
0,0,1,0,1,0,0,1,3,48,315000,44,11,4,4,1,1,3
0,0,0,1,0,0,0,1,2,27,157500,50,12,4,4,4,1,12
0,0,0,0,0,0,0,0,1,19,90000,23,1,0,4,3,2,6
0,0,0,0,1,0,0,2,4,33,112500,34,1,4,4,1,2,11
1,1,1,0,0,0,0,0,2,7,225000,32,6,2,1,1,1,12
0,0,1,1,0,1,0,0,2,1,112500,27,1,4,4,1,5,12
0,0,0,0,1,0,1,0,2,35,225000,59,0,1,1,1,1,12
0,0,0,0,0,0,0,0,1,26,157500,52,32,4,4,3,1,11
1,1,1,1,1,0,0,0,2,47,157500,35,1,0,4,1,1,8
0,1,1,0,1,0,0,0,2,38,225000,44,0,0,1,1,1,6
1,1,1,0,0,0,0,0,2,36,202500,56,14,4,1,1,1,10
1,0,1,0,0,0,0,0,2,29,202500,40,5,4,1,1,1,10
0,1,0,0,1,0,1,1,3,34,450000,54,0,1,4,0,1,12
0,0,1,0,0,0,1,0,2,45,67500,60,0,1,4,1,1,12
1,0,0,1,1,0,0,0,2,39,202500,54,9,0,4,1,1,8
0,1,1,0,0,0,0,1,3,33,180000,42,7,4,1,1,1,3
1,0,1,0,1,0,0,0,2,43,270000,44,2,4,4,1,1,8
1,1,1,0,0,0,0,0,2,5,90000,37,2,0,4,1,1,12
0,0,1,0,0,0,0,0,2,34,157500,52,6,0,4,1,1,5
1,0,1,1,1,0,0,0,2,33,247500,25,2,0,4,1,1,4
0,0,1,0,0,0,0,0,2,14,103500,43,3,4,4,1,1,11
0,0,0,1,1,0,0,0,2,3,135000,27,1,4,4,1,5,3
0,0,1,0,0,0,0,0,2,48,292500,48,12,4,1,1,1,12
0,0,1,0,1,0,0,0,2,39,112500,50,16,2,4,0,1,11
0,0,0,0,1,0,0,0,2,4,67500,32,8,4,4,1,1,15
1,1,0,1,0,0,0,1,3,30,180000,39,0,0,4,1,1,8
1,0,1,0,0,0,0,0,1,11,135000,46,1,4,4,3,1,8
0,0,0,1,1,0,0,0,2,60,112500,29,10,4,1,1,5,3
0,0,1,0,0,0,0,3,5,45,135000,35,2,0,4,1,1,15
0,1,1,0,0,1,1,1,3,28,157500,37,0,1,1,1,1,12
0,0,1,1,1,0,0,0,1,55,630000,60,4,4,1,2,1,0
0,0,1,0,1,0,0,0,2,17,292500,46,9,4,4,1,1,11
0,0,1,0,0,0,1,0,2,45,99000,63,0,1,4,1,1,12
1,0,1,0,0,0,0,0,1,46,90000,41,1,4,4,3,1,9
1,0,1,0,0,0,0,0,2,3,202500,46,0,4,4,1,1,12
0,0,0,0,1,0,0,0,2,31,157500,27,3,0,1,1,5,12
1,1,1,0,0,0,0,0,2,7,162000,36,0,4,4,1,1,8
0,1,1,0,0,0,0,1,3,45,540000,36,0,2,2,1,1,3
0,0,1,1,1,0,0,0,2,19,112500,43,7,0,4,1,1,12
0,0,1,1,0,0,0,1,3,1,134995,35,5,4,4,0,1,8
0,0,0,0,0,0,0,0,2,47,157500,49,0,4,4,1,1,10
0,0,1,0,0,0,0,1,2,25,225000,33,4,4,4,3,1,1
0,0,1,0,0,0,0,1,3,38,81000,45,22,4,4,0,1,3
1,0,1,0,0,0,0,0,2,49,270000,44,2,4,4,0,1,4
0,0,1,0,1,0,0,1,3,11,225000,43,7,0,1,1,1,10
1,0,1,0,0,1,0,0,1,29,225000,25,3,0,4,3,1,8
1,1,1,0,0,0,0,0,2,21,382500,29,1,4,1,0,1,8
0,0,1,0,0,0,0,2,4,13,144000,29,7,0,4,1,1,12
1,1,0,0,0,0,0,2,4,28,225000,35,11,4,4,1,1,8
0,0,1,0,0,1,0,1,3,8,225000,26,6,0,1,1,1,10
0,0,0,1,1,0,0,0,1,2,99000,25,2,4,1,3,1,3
0,1,1,1,1,0,0,2,4,36,144000,31,10,4,4,1,1,8
0,0,1,0,0,0,0,0,1,23,112500,47,1,4,4,3,1,15
0,0,0,0,0,0,0,1,3,13,180000,27,7,4,2,1,5,12
0,0,1,0,0,0,0,0,2,15,202500,48,4,0,4,1,1,10
1,0,1,0,0,0,0,0,2,11,157500,40,0,4,4,1,1,8
1,1,1,0,0,0,0,0,1,32,135000,29,4,4,1,3,1,4
0,1,1,0,0,0,1,0,2,10,144000,62,0,1,4,1,1,12
1,0,1,1,0,0,0,0,1,4,135000,26,1,4,4,3,1,17
1,1,0,0,0,0,1,2,4,9,157500,55,0,1,4,1,1,12
1,1,1,0,0,1,0,2,4,28,225000,40,0,0,1,1,1,12
1,0,1,1,1,0,0,0,1,49,112500,49,5,4,4,3,1,15
0,0,0,0,1,0,1,0,2,23,76500,56,0,1,4,1,1,12
0,0,0,0,0,0,0,1,3,6,202500,31,8,0,4,1,1,8
0,1,0,0,0,0,0,0,2,33,112500,44,4,4,4,1,1,11
0,0,0,0,1,0,0,1,2,11,108000,39,11,4,4,2,1,12
1,1,1,0,1,1,0,0,1,37,202500,36,6,4,4,3,1,10
0,0,0,0,0,0,1,0,1,27,90000,57,0,1,4,4,1,12
0,0,1,0,0,0,0,1,3,12,112500,31,2,4,4,1,1,3
1,0,1,0,0,0,0,0,2,23,225000,35,5,4,4,1,1,4
1,0,1,0,0,0,0,0,1,17,81000,57,7,4,4,3,1,17
0,0,1,0,0,0,1,0,2,59,225000,60,0,1,4,1,1,12
0,1,1,0,0,0,1,0,2,6,112500,61,0,1,1,1,1,12
0,1,0,1,0,0,0,0,1,29,247500,56,24,0,1,2,1,0
0,0,1,0,1,0,1,0,1,15,495000,59,0,1,4,4,1,12
1,1,1,0,0,1,0,0,2,3,189000,56,2,4,4,1,1,17
0,1,1,0,0,0,0,2,4,41,450000,40,12,4,4,1,1,3
1,0,0,0,1,0,1,0,2,15,126000,56,0,1,1,1,1,12
1,0,1,0,1,0,0,0,2,46,135000,52,7,2,1,1,1,3
0,0,1,0,0,0,1,0,1,52,76500,63,0,1,1,3,1,12
1,0,1,0,0,0,0,0,2,2,180000,56,4,4,4,1,1,8
0,0,1,0,1,0,0,1,3,12,90000,31,9,4,1,1,1,6
0,1,1,0,0,0,0,0,1,16,180000,36,7,4,4,3,1,8
1,1,0,1,1,0,0,0,2,52,315000,45,13,4,4,1,1,4
1,1,1,0,0,0,0,1,3,49,315000,28,7,4,1,1,1,3
0,0,1,0,0,0,1,0,2,7,90000,55,0,1,4,1,1,12
0,0,1,0,0,0,1,0,2,4,157500,55,0,1,4,0,1,12
0,0,1,0,1,0,0,1,3,28,112500,37,6,4,4,1,1,12
1,0,0,0,0,0,0,2,4,37,202500,26,3,4,4,1,1,8
1,1,1,1,1,0,0,0,2,52,157500,60,19,4,4,1,1,6
1,1,1,0,1,0,0,0,2,31,225000,37,9,2,4,1,1,8
1,1,1,0,0,0,1,0,2,43,180000,67,0,1,4,0,1,12
0,0,1,0,0,0,1,0,1,55,99000,67,0,1,1,2,1,12
0,0,1,0,1,0,1,0,2,47,58500,67,0,1,4,1,1,12
0,0,0,0,0,0,0,0,1,44,90000,43,12,0,4,3,1,8
0,0,1,0,0,0,0,0,2,21,216000,58,9,4,4,1,1,13
1,0,1,0,0,0,0,1,3,34,270000,30,1,2,1,1,1,3
0,0,1,1,1,0,0,2,4,0,157500,27,2,2,1,1,1,3
0,1,0,1,0,0,0,0,1,58,270000,28,4,0,1,3,1,12
0,0,1,0,0,0,0,1,3,18,180000,23,2,4,2,1,1,12
0,0,0,0,0,0,0,0,2,16,112500,27,1,4,2,1,5,15
1,1,1,0,0,0,0,0,2,14,301500,43,1,0,1,1,1,8
0,0,1,0,0,0,0,0,2,16,270000,32,2,4,2,0,4,12
0,0,1,0,0,0,0,0,2,48,315000,49,31,2,1,1,1,12
0,1,1,0,0,0,0,0,2,20,90000,52,4,4,4,1,1,12
0,0,1,0,0,1,0,1,3,2,720000,45,6,0,1,1,1,10
0,0,1,0,0,0,1,0,1,20,283500,61,0,1,1,2,1,12
1,0,0,0,0,0,0,0,1,35,265500,60,8,4,1,3,1,8
1,0,0,0,1,0,1,0,2,5,135000,56,0,1,4,1,1,12
1,0,1,0,0,1,0,1,3,47,315000,31,3,0,4,1,1,4
1,0,0,0,0,0,0,0,2,60,247500,49,3,4,4,1,1,4
0,1,1,0,0,0,0,0,1,27,225000,54,4,4,4,4,1,1
0,0,0,0,1,0,0,0,2,18,283500,48,13,0,4,1,2,2
0,0,0,0,0,0,0,0,2,36,112500,24,1,4,4,1,1,3
0,0,1,0,0,1,0,0,2,0,126000,40,7,2,4,1,1,0
0,1,1,0,0,0,0,0,2,58,180000,34,1,4,4,0,1,15
1,1,1,0,0,0,1,0,2,19,360000,38,0,1,4,1,1,12
0,0,1,0,1,0,1,0,1,5,67500,58,0,1,2,2,1,12
0,0,1,0,0,0,0,3,5,42,179100,36,5,2,4,1,1,2
0,0,0,0,0,0,0,0,2,27,202500,46,11,2,1,1,1,12
1,0,1,0,0,0,0,0,2,4,225000,32,12,4,4,1,1,8
0,0,1,1,0,0,0,0,2,8,135000,22,1,4,1,1,1,12
1,1,0,1,0,0,0,1,3,3,540000,38,1,4,1,1,1,12
0,0,0,1,0,0,0,0,2,31,180000,48,6,4,1,1,1,10
0,0,1,0,0,0,0,0,2,14,180000,45,13,4,3,1,1,1
0,1,1,0,1,1,0,0,1,17,292500,52,15,0,1,4,1,12
0,1,1,0,0,0,0,0,2,30,247500,53,22,2,4,1,1,10
0,0,1,0,0,0,0,0,1,40,216000,49,8,4,4,3,1,11
0,1,1,0,0,0,0,1,2,30,225000,29,3,0,4,2,1,10
1,1,1,0,0,0,0,0,2,32,180000,49,9,0,4,1,1,4
0,0,1,0,0,0,0,0,2,28,180000,42,8,4,4,1,1,12
1,1,0,0,0,0,0,0,2,11,261000,24,1,0,2,0,5,15
1,1,1,0,0,0,0,0,1,23,382500,59,8,4,4,3,1,8
1,1,1,0,0,0,0,0,2,46,247500,57,7,0,4,1,1,4
1,1,0,1,0,0,0,0,1,28,247500,23,0,4,2,3,1,10
0,0,1,0,0,0,1,0,2,4,67500,55,0,1,4,1,1,12
0,1,0,1,1,0,0,0,2,55,202500,44,17,4,1,1,1,10
0,0,0,0,0,0,0,1,2,48,180000,27,1,4,4,3,1,15
1,1,0,1,0,0,0,0,2,20,315000,46,14,0,4,1,1,10
0,0,1,0,0,0,0,0,2,26,112500,25,2,4,1,1,5,3
0,0,0,0,0,0,0,2,4,53,180000,37,14,2,1,1,1,10
0,0,0,0,1,0,1,0,2,41,94500,58,0,1,4,1,1,12
0,0,1,0,1,0,1,0,2,8,112500,56,0,1,4,1,1,12
0,0,0,0,0,0,1,0,2,10,270000,56,0,1,4,1,1,12
0,1,1,1,1,0,0,1,3,51,252000,39,8,4,4,0,1,15
0,1,1,0,0,1,0,0,1,11,360000,57,5,0,1,3,1,10
0,0,1,0,0,0,0,0,2,38,157500,50,18,4,4,1,1,10
0,0,1,0,0,0,0,0,1,16,270000,53,3,2,1,2,1,3
1,0,1,0,0,1,0,0,2,14,90000,51,4,0,4,1,1,12
0,0,0,0,0,0,0,1,3,18,157500,42,4,0,4,1,1,15
1,0,1,1,0,0,0,0,2,37,135000,56,36,4,4,1,1,12
0,0,1,1,1,0,0,0,2,57,180000,40,2,4,4,1,1,2
0,1,1,0,0,0,0,1,3,8,270000,37,7,0,4,1,1,10
1,0,1,0,0,1,0,1,3,26,202500,26,3,4,4,1,1,4
1,0,0,0,0,0,0,0,2,37,225000,35,4,4,4,1,1,8
0,0,1,1,0,0,0,0,2,0,112500,46,25,4,4,1,1,6
1,1,1,0,0,0,0,2,4,5,180000,39,1,4,4,1,1,8
0,0,1,0,0,0,0,4,6,41,261000,34,4,4,4,1,1,6
0,0,1,0,1,0,1,0,1,25,112500,60,0,1,2,4,1,12
0,0,1,0,0,0,0,0,2,32,135000,51,31,0,4,1,1,8
0,1,1,0,0,0,1,0,1,16,112500,57,0,1,4,4,1,12
0,0,0,1,1,0,0,1,3,41,162000,34,8,4,2,0,1,3
0,1,1,0,0,0,0,1,2,4,247500,36,3,0,4,2,1,0
0,1,0,0,1,0,0,0,2,18,135000,52,34,4,4,1,1,3
0,1,0,0,0,0,0,0,2,10,112500,46,0,0,4,1,1,1
1,1,1,0,0,0,1,0,2,43,220500,63,0,1,4,1,1,12
0,0,0,0,0,0,0,0,2,9,135000,36,10,0,4,1,1,15
0,0,1,1,1,0,0,0,1,39,315000,48,6,0,1,2,1,0
1,1,1,0,1,0,0,1,3,30,270000,44,5,0,1,1,1,10
0,0,0,1,1,0,0,4,6,52,112500,35,3,0,4,1,1,12
1,1,1,0,0,0,0,0,2,13,135000,26,2,0,2,0,1,8
1,0,0,0,0,0,0,0,1,38,180000,28,8,0,4,3,5,3
0,0,0,0,1,0,1,0,1,51,81000,60,0,1,4,2,1,12
0,0,1,0,0,0,0,0,1,8,270000,46,5,0,4,3,1,1
1,1,1,1,0,0,0,0,1,54,270000,52,10,4,3,2,1,8
0,0,1,0,1,0,0,0,1,44,112500,43,6,4,4,2,1,11
1,0,1,1,0,0,0,0,2,32,180000,54,3,0,2,1,1,3
1,0,1,0,0,0,0,0,2,43,99000,29,1,0,2,0,4,8
0,0,0,0,0,0,0,1,3,17,387000,41,1,0,1,1,1,12
1,1,0,1,1,0,0,0,2,10,157500,33,0,4,4,1,4,3
0,0,0,0,0,0,0,0,2,28,135000,52,0,4,3,1,4,8
0,1,1,0,0,0,0,1,3,38,121500,44,1,2,4,1,1,3
0,0,1,0,0,0,0,1,3,25,112500,37,14,4,4,1,1,8
1,1,1,0,0,0,0,1,3,13,225000,41,2,0,4,1,1,8
0,0,0,0,1,0,1,0,2,2,112500,64,0,1,4,1,1,12
0,0,1,0,0,0,0,2,4,23,67500,33,1,4,4,1,1,15
1,0,1,0,0,0,1,0,2,25,126000,45,0,1,4,1,4,12
0,0,1,0,0,0,0,1,3,22,202500,35,3,4,4,1,1,8
1,1,1,0,1,1,0,1,3,17,495000,46,0,4,1,1,1,10
1,0,1,0,0,1,0,1,3,12,157500,23,1,4,4,1,1,3
0,0,0,0,0,0,0,1,3,12,180000,37,7,4,4,1,1,8
0,0,1,0,0,0,0,0,1,28,202500,45,5,0,4,3,1,3
1,1,1,0,0,0,0,1,3,39,270000,51,10,2,4,1,1,4
0,1,1,0,0,0,0,1,2,4,157500,29,3,4,4,3,1,13
1,1,1,0,0,0,0,0,1,12,225000,32,0,4,4,3,1,18
0,0,1,0,0,0,0,1,3,6,360000,28,3,4,4,1,1,10
0,0,1,0,0,0,1,0,2,34,135000,59,0,1,4,1,1,12
0,0,0,0,0,1,0,1,2,2,67500,24,0,4,1,3,1,15
0,0,0,0,0,0,0,1,2,40,126000,53,1,4,4,4,1,12
1,0,1,0,0,0,0,2,4,32,162000,30,11,4,4,1,1,12
0,0,1,0,0,0,0,0,2,54,135000,42,4,0,4,1,1,18
0,1,0,1,1,0,0,1,3,48,67500,32,3,4,1,1,1,15
0,0,0,1,1,0,0,0,2,58,270000,48,4,4,4,1,1,6
0,0,0,1,1,0,0,0,1,30,112500,38,12,4,4,3,1,3
1,1,1,0,1,0,0,0,2,24,270000,39,4,4,1,1,1,12
0,0,1,0,0,0,0,0,2,48,292500,57,13,4,1,1,1,3
0,0,0,0,0,0,0,0,1,39,180000,44,6,0,4,2,1,12
1,1,1,0,0,0,0,1,3,16,157500,49,9,4,4,1,1,12
1,0,0,0,0,0,0,1,3,58,135000,31,3,0,4,1,1,8
0,0,0,0,0,1,0,0,2,44,135000,56,5,0,4,1,1,16
1,1,1,0,0,0,0,0,2,60,135000,51,7,4,4,1,1,12
0,0,1,0,0,0,0,0,1,36,256500,53,2,0,1,2,1,10
0,1,1,0,0,0,1,0,1,29,157500,55,0,1,4,4,1,12
0,0,1,0,0,0,0,0,2,45,112500,43,9,4,4,1,1,15
0,0,1,0,1,0,0,1,3,17,81000,39,4,0,4,1,1,3
1,1,0,0,0,0,0,1,3,7,202500,33,5,2,4,1,5,4
0,0,1,0,0,0,1,0,2,22,67050,66,0,1,1,1,1,12
1,1,1,0,0,0,0,0,1,49,207000,37,13,2,4,3,1,8
1,1,1,0,1,0,0,0,2,10,360000,45,14,0,4,1,1,17
1,1,1,1,0,0,0,0,1,13,78750,22,0,4,4,3,1,15
0,0,1,1,1,0,0,1,2,34,198000,50,4,4,4,3,1,13
0,0,1,0,0,0,0,1,3,26,157500,43,4,4,4,1,1,12
0,0,0,1,0,0,0,1,3,31,67500,37,10,4,4,0,1,12
0,0,1,1,1,0,0,0,2,41,180000,37,10,4,1,1,1,13
1,1,1,0,1,0,0,2,4,22,292500,33,7,0,4,1,1,12
1,0,0,0,1,0,0,0,2,47,121500,28,1,4,4,1,1,8
1,1,1,0,1,0,0,0,2,26,540000,54,17,4,4,1,1,12
0,0,1,0,0,0,1,0,1,38,67500,51,0,1,4,3,1,12
1,0,1,0,0,0,0,0,1,46,135000,50,7,0,1,2,1,12
0,0,0,0,0,0,1,0,2,53,60750,62,0,1,4,1,1,12
0,0,1,0,1,0,0,0,1,14,157500,62,5,2,4,4,1,4
0,1,1,0,0,1,0,0,2,42,157500,47,21,2,2,1,1,6
0,1,1,0,0,0,1,0,2,37,81000,53,0,1,4,1,1,12
0,0,0,0,0,0,1,0,2,21,112500,57,0,1,4,1,1,12
1,1,1,0,1,0,0,0,1,17,157500,29,3,4,4,3,1,8
1,1,0,1,0,0,0,0,2,54,247500,44,2,0,1,1,1,4
0,0,1,1,0,0,0,1,3,22,67500,41,2,4,4,1,1,3
0,0,0,0,1,0,1,0,1,39,72000,63,0,1,4,2,1,12
0,1,1,0,0,0,0,3,5,24,90000,28,6,4,1,1,1,11
0,1,0,1,1,0,0,0,2,36,202500,40,3,0,4,1,1,6
0,0,1,1,1,0,0,2,4,56,112500,38,1,4,4,1,1,8
0,1,0,0,0,0,0,0,2,48,121500,35,3,4,4,1,1,8
0,0,0,0,0,0,0,2,4,23,121500,32,1,4,1,1,1,5
1,0,1,1,1,0,0,0,2,40,166500,51,17,4,4,1,1,8
0,0,1,0,0,0,0,0,2,13,175950,56,5,4,4,1,1,12
1,1,1,0,1,0,0,0,2,30,418500,52,0,4,1,1,1,12
0,0,1,0,0,0,1,0,2,5,157500,55,0,1,4,1,1,12
0,0,1,0,0,0,0,0,1,32,171000,46,1,4,4,3,4,8
0,0,1,0,0,0,0,0,2,34,135000,44,5,0,4,1,1,15
0,0,1,0,0,0,1,0,2,13,99000,62,0,1,4,1,1,12
0,0,0,0,0,0,1,0,1,25,112500,60,0,1,4,4,1,12
0,0,0,1,1,0,0,0,2,51,211500,50,9,4,4,1,1,17
0,0,1,1,1,0,0,1,3,13,211500,34,2,4,4,1,1,3
0,0,0,1,1,0,0,0,2,25,112500,42,2,0,4,1,1,0
1,1,1,0,1,0,0,1,3,41,292500,45,12,4,4,1,1,8
0,0,1,0,0,0,0,1,3,43,90000,35,14,0,4,1,1,8
0,0,1,0,1,0,0,0,2,48,225000,44,23,2,4,1,1,12
0,0,0,0,0,0,0,0,2,18,180000,53,5,4,2,1,1,8
1,1,1,1,1,0,0,0,2,19,135000,52,1,4,1,0,1,8
1,1,1,0,0,0,0,0,2,31,247500,63,1,4,4,1,1,6
0,0,1,0,0,0,1,0,2,22,90000,60,0,1,4,1,1,12
0,0,0,0,0,0,1,0,2,3,76500,64,0,1,4,1,1,12
0,0,1,0,0,1,0,0,2,25,157500,30,5,0,1,1,1,10
0,0,1,1,0,0,0,0,2,0,148500,33,5,4,4,1,1,8
1,1,1,0,1,0,0,2,4,22,225000,32,3,4,4,1,1,8
0,0,0,0,0,0,1,0,2,3,157500,56,0,1,4,1,2,12
0,1,1,0,0,0,1,0,2,28,360000,64,0,1,4,1,2,12
0,0,0,0,0,1,0,0,1,15,135000,23,4,0,2,3,2,8
0,0,1,0,0,0,1,0,2,16,193500,56,0,1,1,1,1,12
0,0,1,0,1,0,1,0,2,34,117000,66,0,1,4,1,1,12
1,1,1,1,0,0,0,0,2,15,427500,32,12,4,1,0,4,12
0,1,0,0,0,0,0,2,4,27,157500,36,10,0,1,1,1,12
1,1,1,1,0,0,0,1,3,53,360000,32,10,4,1,1,1,10
